date,store_id,region,category,revenue,units_sold,returns
2024-01-01,STORE_012,West,Electronics,18432.51,122,5
2024-01-01,STORE_012,West,Food,11258.73,187,3
2024-01-01,STORE_012,West,Home,14892.04,109,4
2024-01-01,STORE_027,North,Clothing,9821.36,78,2
2024-01-01,STORE_027,North,Electronics,16504.89,94,5
2024-01-01,STORE_003,South,Food,12377.62,206,4
2024-01-01,STORE_003,South,Sports,8945.17,65,2
2024-01-01,STORE_041,East,Electronics,20115.30,134,6
2024-01-01,STORE_041,East,Home,13289.47,97,4
2024-01-01,STORE_018,West,Clothing,7632.14,127,2
2024-01-02,STORE_005,South,Electronics,15876.22,105,5
2024-01-02,STORE_005,South,Food,10234.81,170,3
2024-01-02,STORE_033,North,Home,16742.09,123,5
2024-01-02,STORE_033,North,Sports,9451.63,69,3
2024-01-02,STORE_019,East,Electronics,22089.74,147,7
2024-01-02,STORE_019,East,Clothing,11567.38,193,3
2024-01-02,STORE_008,West,Food,13892.55,231,4
2024-01-02,STORE_044,South,Electronics,17234.66,115,5
2024-01-02,STORE_044,South,Home,14567.89,107,4
2024-01-02,STORE_012,West,Sports,8123.47,59,2
2024-01-06,STORE_027,North,Electronics,22547.81,150,7
2024-01-06,STORE_027,North,Food,15876.33,264,5
2024-01-06,STORE_027,North,Clothing,12345.67,206,4
2024-01-06,STORE_003,South,Electronics,24189.04,161,7
2024-01-06,STORE_003,South,Sports,13567.89,99,4
2024-01-06,STORE_041,East,Home,19834.52,146,6
2024-01-06,STORE_041,East,Food,16723.41,279,5
2024-01-06,STORE_018,West,Electronics,21098.76,140,6
2024-01-06,STORE_005,South,Clothing,10234.58,171,3
2024-01-06,STORE_005,South,Home,17456.23,128,5
2024-01-07,STORE_033,North,Electronics,23456.78,156,7
2024-01-07,STORE_033,North,Sports,11234.56,82,3
2024-01-07,STORE_019,East,Food,14567.89,243,4
2024-01-07,STORE_019,East,Electronics,25678.90,171,8
2024-01-07,STORE_008,West,Clothing,8765.43,146,3
2024-01-07,STORE_008,West,Home,15432.10,113,5
2024-01-07,STORE_044,South,Electronics,19876.54,132,6
2024-01-07,STORE_044,South,Food,12345.67,206,4
2024-01-07,STORE_012,West,Food,13456.78,224,4
2024-01-07,STORE_012,West,Electronics,20987.65,140,6
2024-01-15,STORE_027,North,Electronics,15234.56,101,5
2024-01-15,STORE_027,North,Home,12345.67,91,4
2024-01-15,STORE_003,South,Food,9876.54,164,3
2024-01-15,STORE_003,South,Clothing,7654.32,128,2
2024-01-15,STORE_041,East,Electronics,18765.43,125,6
2024-01-15,STORE_041,East,Sports,10987.65,80,3
2024-01-15,STORE_018,West,Food,11234.56,187,3
2024-01-15,STORE_018,West,Home,14567.89,107,4
2024-01-15,STORE_005,South,Electronics,16789.01,112,5
2024-01-15,STORE_005,South,Home,13456.78,99,4
2024-02-01,STORE_033,North,Electronics,17234.56,115,5
2024-02-01,STORE_033,North,Clothing,9876.54,165,3
2024-02-01,STORE_019,East,Food,12345.67,206,4
2024-02-01,STORE_019,East,Electronics,21098.76,140,6
2024-02-01,STORE_008,West,Sports,8765.43,64,3
2024-02-01,STORE_008,West,Electronics,19543.21,130,6
2024-02-01,STORE_044,South,Home,15678.90,115,5
2024-02-01,STORE_044,South,Food,11234.56,187,3
2024-02-01,STORE_012,West,Electronics,18432.10,123,5
2024-02-01,STORE_012,West,Clothing,7654.32,128,2
2024-02-14,STORE_027,North,Electronics,14567.89,97,4
2024-02-14,STORE_027,North,Food,11234.56,187,3
2024-02-14,STORE_003,South,Clothing,8765.43,146,3
2024-02-14,STORE_003,South,Electronics,17654.32,118,5
2024-02-14,STORE_041,East,Home,13456.78,99,4
2024-02-14,STORE_041,East,Sports,10234.56,75,3
2024-02-14,STORE_018,West,Food,12987.65,216,4
2024-02-14,STORE_018,West,Electronics,20123.45,134,6
2024-02-14,STORE_005,South,Home,15678.90,115,5
2024-02-14,STORE_005,South,Food,10234.56,170,3
2024-03-01,STORE_033,North,Electronics,19876.54,132,6
2024-03-01,STORE_033,North,Clothing,11234.56,187,3
2024-03-01,STORE_019,East,Food,14567.89,243,4
2024-03-01,STORE_019,East,Home,16789.01,123,5
2024-03-01,STORE_008,West,Electronics,22345.67,149,7
2024-03-01,STORE_008,West,Sports,9876.54,72,3
2024-03-01,STORE_044,South,Electronics,18234.56,121,5
2024-03-01,STORE_044,South,Food,12567.89,209,4
2024-03-01,STORE_012,West,Home,15432.10,113,5
2024-03-01,STORE_012,West,Clothing,8654.32,144,3
2024-03-15,STORE_027,North,Electronics,20567.89,137,6
2024-03-15,STORE_027,North,Sports,12345.67,90,4
2024-03-15,STORE_003,South,Home,16543.21,122,5
2024-03-15,STORE_003,South,Food,11876.54,198,4
2024-03-15,STORE_041,East,Electronics,23456.78,156,7
2024-03-15,STORE_041,East,Clothing,9012.34,150,3
2024-03-15,STORE_018,West,Food,13789.01,230,4
2024-03-15,STORE_018,West,Electronics,19876.54,132,6
2024-03-15,STORE_005,South,Home,14321.09,105,4
2024-03-15,STORE_005,South,Sports,10876.54,79,3
2024-04-01,STORE_033,North,Electronics,21234.56,141,6
2024-04-01,STORE_033,North,Food,14876.54,248,4
2024-04-01,STORE_019,East,Clothing,10234.56,171,3
2024-04-01,STORE_019,East,Electronics,24567.89,164,7
2024-04-01,STORE_008,West,Home,17654.32,130,5
2024-04-01,STORE_008,West,Food,13234.56,220,4
2024-04-01,STORE_044,South,Electronics,20123.45,134,6
2024-04-01,STORE_044,South,Sports,11567.89,84,3
2024-04-01,STORE_012,West,Electronics,19345.67,129,6
2024-04-01,STORE_012,West,Clothing,8432.10,140,2
2024-05-01,STORE_027,North,Home,16789.01,123,5
2024-05-01,STORE_027,North,Electronics,22098.76,147,7
2024-05-01,STORE_003,South,Food,13567.89,226,4
2024-05-01,STORE_003,South,Electronics,19234.56,128,6
2024-05-01,STORE_041,East,Clothing,11876.54,198,4
2024-05-01,STORE_041,East,Home,18345.67,135,5
2024-05-01,STORE_018,West,Electronics,21567.89,144,6
2024-05-01,STORE_018,West,Sports,10432.10,76,3
2024-05-01,STORE_005,South,Food,12789.01,213,4
2024-05-01,STORE_005,South,Electronics,18654.32,124,6
2024-06-01,STORE_033,North,Electronics,24321.09,162,7
2024-06-01,STORE_033,North,Home,17654.32,130,5
2024-06-01,STORE_019,East,Food,15234.56,254,5
2024-06-01,STORE_019,East,Electronics,26789.01,179,8
2024-06-01,STORE_008,West,Clothing,9543.21,159,3
2024-06-01,STORE_008,West,Electronics,23456.78,156,7
2024-06-01,STORE_044,South,Home,16432.10,121,5
2024-06-01,STORE_044,South,Sports,12345.67,90,4
2024-06-01,STORE_012,West,Food,14876.54,248,4
2024-06-01,STORE_012,West,Electronics,22567.89,150,7
2024-06-15,STORE_027,North,Electronics,25876.54,172,8
2024-06-15,STORE_027,North,Clothing,13234.56,220,4
2024-06-15,STORE_003,South,Electronics,24098.76,161,7
2024-06-15,STORE_003,South,Home,18765.43,138,6
2024-06-15,STORE_041,East,Food,16789.01,280,5
2024-06-15,STORE_041,East,Electronics,27432.10,183,8
2024-06-15,STORE_018,West,Sports,11876.54,87,3
2024-06-15,STORE_018,West,Home,19234.56,141,6
2024-06-15,STORE_005,South,Electronics,23789.01,159,7
2024-06-15,STORE_005,South,Clothing,10876.54,181,3
2024-07-01,STORE_033,North,Electronics,24567.89,164,7
2024-07-01,STORE_033,North,Food,16789.01,280,5
2024-07-01,STORE_019,East,Home,19876.54,146,6
2024-07-01,STORE_019,East,Electronics,26345.67,176,8
2024-07-01,STORE_008,West,Electronics,22876.54,152,7
2024-07-01,STORE_008,West,Clothing,10543.21,176,3
2024-07-01,STORE_044,South,Electronics,21234.56,141,6
2024-07-01,STORE_044,South,Food,15432.10,257,5
2024-07-01,STORE_012,West,Sports,12098.76,88,4
2024-07-01,STORE_012,West,Electronics,23456.78,156,7
2024-08-01,STORE_027,North,Electronics,22567.89,150,7
2024-08-01,STORE_027,North,Home,17432.10,128,5
2024-08-01,STORE_003,South,Food,14876.54,248,4
2024-08-01,STORE_003,South,Electronics,21098.76,140,6
2024-08-01,STORE_041,East,Clothing,12234.56,204,4
2024-08-01,STORE_041,East,Electronics,25678.90,171,8
2024-08-01,STORE_018,West,Food,13567.89,226,4
2024-08-01,STORE_018,West,Electronics,20876.54,139,6
2024-08-01,STORE_005,South,Sports,11432.10,83,3
2024-08-01,STORE_005,South,Home,16543.21,122,5
2024-09-01,STORE_033,North,Electronics,18765.43,125,6
2024-09-01,STORE_033,North,Clothing,10098.76,168,3
2024-09-01,STORE_019,East,Food,13234.56,220,4
2024-09-01,STORE_019,East,Electronics,22345.67,149,7
2024-09-01,STORE_008,West,Home,15876.54,117,5
2024-09-01,STORE_008,West,Electronics,19543.21,130,6
2024-09-01,STORE_044,South,Food,12098.76,202,4
2024-09-01,STORE_044,South,Electronics,17654.32,118,5
2024-09-01,STORE_012,West,Clothing,8234.56,137,2
2024-09-01,STORE_012,West,Electronics,18098.76,121,5
2024-10-01,STORE_027,North,Electronics,17234.56,115,5
2024-10-01,STORE_027,North,Sports,10654.32,78,3
2024-10-01,STORE_003,South,Electronics,19876.54,132,6
2024-10-01,STORE_003,South,Home,14321.09,105,4
2024-10-01,STORE_041,East,Food,12876.54,214,4
2024-10-01,STORE_041,East,Electronics,21543.21,144,6
2024-10-01,STORE_018,West,Clothing,8876.54,148,3
2024-10-01,STORE_018,West,Electronics,17987.65,120,5
2024-10-01,STORE_005,South,Food,11543.21,192,3
2024-10-01,STORE_005,South,Electronics,16789.01,112,5
2024-11-01,STORE_033,North,Electronics,16432.10,109,5
2024-11-01,STORE_033,North,Home,13098.76,96,4
2024-11-01,STORE_019,East,Electronics,20234.56,135,6
2024-11-01,STORE_019,East,Clothing,9543.21,159,3
2024-11-01,STORE_008,West,Food,12234.56,204,4
2024-11-01,STORE_008,West,Electronics,18876.54,126,6
2024-11-01,STORE_044,South,Electronics,15987.65,107,5
2024-11-01,STORE_044,South,Sports,10321.09,75,3
2024-11-01,STORE_012,West,Electronics,17234.56,115,5
2024-11-01,STORE_012,West,Home,13876.54,102,4
2024-12-01,STORE_027,North,Electronics,15098.76,101,5
2024-12-01,STORE_027,North,Food,11876.54,198,4
2024-12-01,STORE_003,South,Electronics,18432.10,123,5
2024-12-01,STORE_003,South,Clothing,8654.32,144,3
2024-12-01,STORE_041,East,Home,14098.76,104,4
2024-12-01,STORE_041,East,Electronics,19876.54,132,6
2024-12-01,STORE_018,West,Electronics,16543.21,110,5
2024-12-01,STORE_018,West,Sports,9876.54,72,3
2024-12-01,STORE_005,South,Food,11098.76,185,3
2024-12-01,STORE_005,South,Electronics,15876.54,106,5
2024-12-25,STORE_033,North,Electronics,28765.43,192,9
2024-12-25,STORE_033,North,Food,19876.54,331,6
2024-12-25,STORE_033,North,Clothing,14567.89,243,4
2024-12-25,STORE_019,East,Electronics,31234.56,208,9
2024-12-25,STORE_019,East,Home,22345.67,164,7
2024-12-25,STORE_008,West,Electronics,27654.32,184,8
2024-12-25,STORE_008,West,Food,18543.21,309,6
2024-12-25,STORE_044,South,Electronics,25876.54,172,8
2024-12-25,STORE_044,South,Sports,15234.56,111,5
2024-12-25,STORE_012,West,Electronics,26789.01,179,8
2024-12-25,STORE_012,West,Home,20123.45,148,6
2024-12-25,STORE_027,North,Electronics,29543.21,197,9
2024-12-25,STORE_027,North,Sports,16789.01,122,5
2024-12-25,STORE_003,South,Electronics,27098.76,181,8
2024-12-25,STORE_003,South,Food,18234.56,304,5
2024-12-25,STORE_041,East,Electronics,30876.54,206,9
2024-12-25,STORE_041,East,Clothing,15654.32,261,5
2024-12-25,STORE_018,West,Home,21876.54,161,6
2024-12-25,STORE_005,South,Electronics,26543.21,177,8
2024-12-25,STORE_005,South,Home,19234.56,141,6
